{52.22766 ,  22.661821		},
{111.17421 ,  246.7651        },
{135.3829 ,  247.63019        },
{159.63673 ,  246.92046       },
{184.00508 ,  247.49496       },
{208.02748 ,  246.85677       },
{232.63484 ,  247.39323       },
{256.64554 ,  247.07568       },
{281.3352 ,  247.27417        },
{305.46494 ,  247.02863       },
{330.08258 ,  247.08374       },
{354.33444 ,  247.11603       },
{378.9967 ,  247.13263        },
{403.13614 ,  247.30232       },
{428.00632 ,  247.0909        },
{452.07495 ,  247.44473       },
{477.02426 ,  247.09424       },
{501.07706 ,  247.65651       },
{525.90686 ,  246.93283       },
{550.2151 ,  247.96925        },
{575.0095 ,  246.40598        },
{64.08303 ,  271.96204        },
{88.21832 ,  270.5694         },
{112.242 ,  271.68985         },
{136.27872 ,  270.79074       },
{160.48686 ,  271.41324       },
{184.52773 ,  270.79          },
{208.82841 ,  271.42294       },
{232.77519 ,  270.9027        },
{257.23105 ,  271.21246       },
{281.28925 ,  271.09375       },
{305.74042 ,  271.14417       },
{329.9772 ,  271.14355        },
{354.35373 ,  271.1605        },
{378.53546 ,  271.15405       },
{403.16034 ,  271.1093        },
{427.31778 ,  271.38477       },
{451.8821 ,  271.04327        },
{476.08038 ,  271.58078       },
{500.71484 ,  271.00027       },
{524.8372 ,  271.83554        },
{549.41284 ,  270.74203       },
{573.8621 ,  272.41925        },
{65.267426 ,  294.12173       },
{89.21456 ,  295.62057        },
{113.215355 ,  294.30585      },
{137.13075 ,  295.3791        },
{161.06935 ,  294.54785       },
{185.28049 ,  295.22745       },
{209.25514 ,  294.72144       },
{233.42583 ,  295.1488        },
{257.38953 ,  294.8142        },
{281.59058 ,  294.98135       },
{305.82053 ,  295.0457        },
{330.06708 ,  294.95724       },
{354.21725 ,  295.03506       },
{378.48914 ,  294.94727       },
{402.77124 ,  295.15762       },
{426.98602 ,  295.01706       },
{451.25974 ,  295.38574       },
{475.50543 ,  295.02643       },
{499.89856 ,  295.61667       },
{523.8927 ,  294.76355        },
{548.38745 ,  295.88766       },
{572.7001 ,  294.48752        },
{66.45665 ,  319.1785         },
{90.490204 ,  317.77637       },
{114.28468 ,  319.08844       },
{138.05905 ,  318.04324       },
{161.89186 ,  318.76645       },
{185.92291 ,  318.187         },
{209.83241 ,  318.78793       },
{233.85931 ,  318.27707       },
{257.8397 ,  318.63257        },
